longitude,latitude,total_tested,total_positive,prevalence
33.97,0.1,593,163,0.274873524
33.994,0.158,171,117,0.684210526
34.02,-0.03,237,51,0.215189873
34.02,0.22,210,66,0.314285714
34.05003,0.22096,110,56,0.509090909
34.05599,0.10486,110,81,0.736363636
34.089097,-0.528059,594,24,0.04040404
34.09,0.13,219,71,0.324200913
34.1015,0.4527,110,51,0.463636364
34.1164,-0.0115,238,96,0.403361345
34.1175,0.377,35,35,1
34.12,0.45,216,84,0.388888889
34.12003,-0.69028,110,12,0.109090909
34.1277,-0.4222,109,3,0.027522936
34.1318,-0.0035,255,35,0.137254902
34.13214,-0.4214,36,4,0.111111111
34.135,0.4016,31,30,0.967741935
34.13967,-0.41365,100,37,0.37
34.142,0.4194,26,16,0.615384615
34.1445,0.3504,34,33,0.970588235
34.1499,-0.0222,454,152,0.334801762
34.1518,0.4016,34,33,0.970588235
34.15291,-0.40944,100,29,0.29
34.1548,0.5206,110,43,0.390909091
34.1555,-0.4044,121,8,0.066115702
34.1561,-0.4263,94,25,0.265957447
34.1595,0.3554,35,31,0.885714286
34.16,0.09,398,134,0.336683417
34.1649,-0.0282,67,13,0.194029851
34.1658,-0.5383,150,135,0.9
34.1719,-0.3869,109,10,0.091743119
34.17307,-0.47488,161,45,0.279503106
34.1733,0.3545,30,27,0.9
34.1738,-0.5174,152,151,0.993421053
34.17385,-0.48561,233,85,0.364806867
34.1748,-0.1181,109,15,0.137614679
34.17694,-0.48392,693,193,0.278499278
34.17763,-0.38417,514,123,0.239299611
34.1778,0.3916,30,30,1
34.1795,0.3225,25,24,0.96
34.1797,-0.551,133,122,0.917293233
34.1812,-0.5545,152,151,0.993421053
34.1833,-0.418,141,33,0.234042553
34.1835,0.0755,18,3,0.166666667
34.1854,0.3337,36,29,0.805555556
34.187,0.4503,34,33,0.970588235
34.1873,-0.0268,409,150,0.366748166
34.18937,-0.34783,118,26,0.220338983
34.1906,-0.3539,916,12,0.013100437
34.19076,-0.35529,26,2,0.076923077
34.19341,-0.46051,259,62,0.239382239
34.1958,0.3356,25,24,0.96
34.1966,0.3741,32,28,0.875
34.1972,-0.4,91,24,0.263736264
34.2,-0.4152,98,17,0.173469388
34.20064,-0.40803,59,9,0.152542373
34.20323,-0.43584,82,13,0.158536585
34.2047,-0.4162,205,92,0.448780488
34.2049,-0.0757,98,2,0.020408163
34.2058,-0.47521,233,67,0.287553648
34.20643,-0.42472,563,105,0.186500888
34.2069,-0.0478,110,39,0.354545455
34.207597,-0.436911,404,109,0.26980198
34.2083,0.3545,29,27,0.931034483
34.21,-0.08,179,36,0.201117318
34.2102,0.587,110,72,0.654545455
34.21288,-0.4423,47,5,0.106382979
34.2152,-0.3816,100,18,0.18
34.21634,-0.50018,229,54,0.23580786
34.2183,0.4416,28,25,0.892857143
34.21862,-0.44041,111,14,0.126126126
34.22,-0.81,245,4,0.016326531
34.224,-0.0826,107,1,0.009345794
34.2259,0.4258,39,35,0.897435897
34.2267,-0.108,178,57,0.320224719
34.23,0.25,221,59,0.266968326
34.23315,-0.44562,553,143,0.258589512
34.2347,-0.43991,198,62,0.313131313
34.2374,0.3366,31,29,0.935483871
34.24,0.09,234,34,0.145299145
34.2406,-0.0548,259,71,0.274131274
34.24146,0.39061,110,71,0.645454545
34.2416,0.365,31,29,0.935483871
34.24161,-0.46582,169,73,0.431952663
34.24442,-0.48858,346,103,0.297687861
34.2474,0.4049,19,17,0.894736842
34.2478,0.3329,35,30,0.857142857
34.24891,-0.44662,482,149,0.309128631
34.252,0.3262,31,30,0.967741935
34.2543,-0.0785,182,36,0.197802198
34.26402,-0.42934,28,2,0.071428571
34.2641,0.3246,35,32,0.914285714
34.266,-0.117,332,2,0.006024096
34.26616,-0.45964,792,261,0.329545455
34.2662,0.3395,25,22,0.88
34.26722,-0.46208,101,43,0.425742574
34.26868,-0.45935,26,3,0.115384615
34.27,0.57,201,4,0.019900498
34.2707,0.3671,39,28,0.717948718
34.2719,0.0657,105,79,0.752380952
34.2781,-0.1359,202,2,0.00990099
34.279,0.0892,133,111,0.834586466
34.2792,-0.0612,400,64,0.16
34.2802,-0.4752,24,11,0.458333333
